"[Município]","Cód. IBGE","UF","Região","Fabricante","Total de doses aplicadas","1ª Dose D1","2ª Dose D2","Dose Adicional DA","Dose Reforço DR","Dose Única DU"
"Japaraíba","00000000313530","MG","Sudeste","PFIZER/BIONTECH","4,052","1,496","1,102","3","1,451","0"
"Japaratinga","00000000270360","AL","Nordeste","BUTANTAN/SINOVAC","3,522","1,936","1,586","0","0","0"
"Japaratinga","00000000270360","AL","Nordeste","FIOCRUZ/ASTRAZENECA","4,117","2,277","1,839","0","1","0"
"Japaratinga","00000000270360","AL","Nordeste","JANSSEN","75","0","0","0","15","60"
"Japaratinga","00000000270360","AL","Nordeste","PFIZER/BIONTECH","2,311","1,084","466","0","761","0"
"Japaratuba","00000000280330","SE","Nordeste","BUTANTAN/SINOVAC","6,551","3,506","3,045","0","0","0"
"Japaratuba","00000000280330","SE","Nordeste","FIOCRUZ/ASTRAZENECA","7,890","4,321","3,480","0","89","0"
"Japaratuba","00000000280330","SE","Nordeste","JANSSEN","282","0","0","49","60","173"
"Japaratuba","00000000280330","SE","Nordeste","PFIZER/BIONTECH","11,072","4,954","3,577","20","2,521","0"
"Japeri","00000000330227","RJ","Sudeste","BUTANTAN/SINOVAC","33,958","19,542","14,053","4","359","0"
"Japeri","00000000330227","RJ","Sudeste","FIOCRUZ/ASTRAZENECA","55,830","31,988","23,547","0","295","0"
"Japeri","00000000330227","RJ","Sudeste","JANSSEN","2,660","0","0","90","371","2,199"
"Japeri","00000000330227","RJ","Sudeste","PFIZER/BIONTECH","48,834","21,579","15,478","161","11,616","0"
"Japi","00000000240540","RN","Nordeste","BUTANTAN/SINOVAC","2,441","1,367","1,073","0","1","0"
"Japi","00000000240540","RN","Nordeste","FIOCRUZ/ASTRAZENECA","3,053","1,620","1,321","73","39","0"
"Japi","00000000240540","RN","Nordeste","JANSSEN","152","1","0","0","69","82"
"Japi","00000000240540","RN","Nordeste","PFIZER/BIONTECH","4,503","1,953","1,706","193","651","0"
"Japira","00000000411230","PR","Sul","BUTANTAN/SINOVAC","1,783","898","885","0","0","0"
"Japira","00000000411230","PR","Sul","FIOCRUZ/ASTRAZENECA","3,185","1,540","1,520","0","125","0"
"Japira","00000000411230","PR","Sul","JANSSEN","169","0","0","0","75","94"
"Japira","00000000411230","PR","Sul","PFIZER/BIONTECH","3,525","1,393","1,018","18","1,096","0"
"Japoatã","00000000280340","SE","Nordeste","BUTANTAN/SINOVAC","5,407","2,969","2,438","0","0","0"
"Japoatã","00000000280340","SE","Nordeste","FIOCRUZ/ASTRAZENECA","7,739","4,086","3,273","0","380","0"
"Japoatã","00000000280340","SE","Nordeste","JANSSEN","252","0","0","0","108","144"
"Japoatã","00000000280340","SE","Nordeste","PFIZER/BIONTECH","7,203","3,590","2,078","7","1,528","0"
"Japonvar","00000000313535","MG","Sudeste","BUTANTAN/SINOVAC","2,823","1,433","1,390","0","0","0"
"Japonvar","00000000313535","MG","Sudeste","FIOCRUZ/ASTRAZENECA","5,416","2,850","2,561","0","5","0"
"Japonvar","00000000313535","MG","Sudeste","JANSSEN","112","0","0","0","14","98"
"Japonvar","00000000313535","MG","Sudeste","PFIZER/BIONTECH","5,362","2,445","1,644","0","1,273","0"
"Japorã","00000000500480","MS","Centro-Oeste","BUTANTAN/SINOVAC","7,101","3,635","3,460","0","6","0"
"Japorã","00000000500480","MS","Centro-Oeste","FIOCRUZ/ASTRAZENECA","3,234","1,522","1,358","32","322","0"
"Japorã","00000000500480","MS","Centro-Oeste","JANSSEN","821","0","0","358","59","404"
"Japorã","00000000500480","MS","Centro-Oeste","PFIZER/BIONTECH","4,758","1,475","950","499","1,834","0"
"Japurá","00000000130210","AM","Norte","BUTANTAN/SINOVAC","1,507","914","593","0","0","0"
"Japurá","00000000130210","AM","Norte","FIOCRUZ/ASTRAZENECA","3,927","2,459","1,466","0","2","0"
"Japurá","00000000130210","AM","Norte","JANSSEN","100","0","0","0","0","100"
"Japurá","00000000130210","AM","Norte","PFIZER/BIONTECH","768","455","171","0","142","0"
"Japurá","00000000411240","PR","Sul","BUTANTAN/SINOVAC","3,512","1,800","1,711","0","1","0"
"Japurá","00000000411240","PR","Sul","FIOCRUZ/ASTRAZENECA","7,559","3,664","3,642","1","252","0"
"Japurá","00000000411240","PR","Sul","JANSSEN","460","0","0","0","179","281"
"Japurá","00000000411240","PR","Sul","PFIZER/BIONTECH","6,938","2,236","1,794","14","2,894","0"
"Jaqueira","00000000260795","PE","Nordeste","BUTANTAN/SINOVAC","3,028","1,623","1,405","0","0","0"
"Jaqueira","00000000260795","PE","Nordeste","FIOCRUZ/ASTRAZENECA","5,288","2,693","2,578","1","16","0"
"Jaqueira","00000000260795","PE","Nordeste","JANSSEN","238","0","0","0","127","111"
"Jaqueira","00000000260795","PE","Nordeste","PFIZER/BIONTECH","8,271","3,597","2,680","0","1,994","0"
"Jaquirana","00000000431112","RS","Sul","BUTANTAN/SINOVAC","1,427","767","660","0","0","0"
"Jaquirana","00000000431112","RS","Sul","FIOCRUZ/ASTRAZENECA","2,534","1,272","1,262","0","0","0"
"Jaquirana","00000000431112","RS","Sul","JANSSEN","181","0","0","0","91","90"
"Jaquirana","00000000431112","RS","Sul","PFIZER/BIONTECH","4,358","1,452","1,272","23","1,611","0"
"Jaraguá","00000000521180","GO","Centro-Oeste","BUTANTAN/SINOVAC","10,593","5,918","4,673","1","1","0"
"Jaraguá","00000000521180","GO","Centro-Oeste","FIOCRUZ/ASTRAZENECA","29,422","15,147","14,266","0","9","0"
"Jaraguá","00000000521180","GO","Centro-Oeste","JANSSEN","2,406","0","0","32","927","1,447"
"Jaraguá","00000000521180","GO","Centro-Oeste","PFIZER/BIONTECH","33,583","14,198","10,755","414","8,216","0"
"Jaraguá Do Sul","00000000420890","SC","Sul","BUTANTAN/SINOVAC","70,926","37,754","33,172","0","0","0"
"Jaraguá Do Sul","00000000420890","SC","Sul","FIOCRUZ/ASTRAZENECA","88,453","44,605","43,844","0","4","0"
"Jaraguá Do Sul","00000000420890","SC","Sul","JANSSEN","9,605","0","0","0","3,378","6,227"
"Jaraguá Do Sul","00000000420890","SC","Sul","PFIZER/BIONTECH","134,719","53,229","46,371","368","34,751","0"
"Jaraguari","00000000500490","MS","Centro-Oeste","BUTANTAN/SINOVAC","2,451","1,279","1,172","0","0","0"
"Jaraguari","00000000500490","MS","Centro-Oeste","FIOCRUZ/ASTRAZENECA","4,814","2,464","2,216","0","134","0"
"Jaraguari","00000000500490","MS","Centro-Oeste","JANSSEN","486","0","0","105","56","325"
"Jaraguari","00000000500490","MS","Centro-Oeste","PFIZER/BIONTECH","4,639","1,431","1,053","5","2,150","0"
"Jaramataia","00000000270370","AL","Nordeste","BUTANTAN/SINOVAC","2,746","1,461","1,285","0","0","0"
"Jaramataia","00000000270370","AL","Nordeste","FIOCRUZ/ASTRAZENECA","3,362","1,782","1,579","0","1","0"
"Jaramataia","00000000270370","AL","Nordeste","JANSSEN","70","0","0","0","25","45"
"Jaramataia","00000000270370","AL","Nordeste","PFIZER/BIONTECH","2,190","708","394","0","1,088","0"
"Jardim","00000000230710","CE","Nordeste","BUTANTAN/SINOVAC","5,145","2,462","2,683","0","0","0"
"Jardim","00000000230710","CE","Nordeste","FIOCRUZ/ASTRAZENECA","4,181","2,890","1,288","0","3","0"
"Jardim","00000000230710","CE","Nordeste","JANSSEN","99","0","0","0","11","88"
"Jardim","00000000230710","CE","Nordeste","PFIZER/BIONTECH","1,845","149","82","9","1,605","0"
"Jardim","00000000500500","MS","Centro-Oeste","BUTANTAN/SINOVAC","7,891","4,186","3,705","0","0","0"
"Jardim","00000000500500","MS","Centro-Oeste","FIOCRUZ/ASTRAZENECA","17,493","9,115","7,799","0","579","0"
"Jardim","00000000500500","MS","Centro-Oeste","JANSSEN","2,688","0","0","1","935","1,752"
"Jardim","00000000500500","MS","Centro-Oeste","PFIZER/BIONTECH","17,491","6,189","4,629","24","6,649","0"
"Jardim Alegre","00000000411250","PR","Sul","BUTANTAN/SINOVAC","4,602","2,362","2,227","0","13","0"
"Jardim Alegre","00000000411250","PR","Sul","FIOCRUZ/ASTRAZENECA","7,701","3,977","3,723","0","1","0"
"Jardim Alegre","00000000411250","PR","Sul","JANSSEN","293","0","0","1","89","203"
"Jardim Alegre","00000000411250","PR","Sul","PFIZER/BIONTECH","8,403","3,176","2,648","14","2,565","0"
"Jardim De Angicos","00000000240550","RN","Nordeste","BUTANTAN/SINOVAC","1,718","889","829","0","0","0"
"Jardim De Angicos","00000000240550","RN","Nordeste","FIOCRUZ/ASTRAZENECA","2,024","854","1,045","2","123","0"
"Jardim De Angicos","00000000240550","RN","Nordeste","JANSSEN","281","0","0","0","229","52"
"Jardim De Angicos","00000000240550","RN","Nordeste","PFIZER/BIONTECH","4,752","1,364","1,652","94","1,642","0"
"Jardim De Piranhas","00000000240560","RN","Nordeste","BUTANTAN/SINOVAC","4,992","2,614","2,378","0","0","0"
"Jardim De Piranhas","00000000240560","RN","Nordeste","FIOCRUZ/ASTRAZENECA","8,315","4,483","3,828","2","2","0"
"Jardim De Piranhas","00000000240560","RN","Nordeste","JANSSEN","370","3","0","0","161","206"
"Jardim De Piranhas","00000000240560","RN","Nordeste","PFIZER/BIONTECH","11,478","4,258","3,696","187","3,336","1"
"Jardim Do Mulato","00000000220525","PI","Nordeste","BUTANTAN/SINOVAC","2,631","1,358","1,273","0","0","0"
"Jardim Do Mulato","00000000220525","PI","Nordeste","FIOCRUZ/ASTRAZENECA","1,861","906","871","0","84","0"
"Jardim Do Mulato","00000000220525","PI","Nordeste","JANSSEN","159","0","0","0","79","80"
"Jardim Do Mulato","00000000220525","PI","Nordeste","PFIZER/BIONTECH","3,004","1,261","976","0","767","0"
"Jardim Do Seridó","00000000240570","RN","Nordeste","BUTANTAN/SINOVAC","9,228","4,969","4,259","0","0","0"
"Jardim Do Seridó","00000000240570","RN","Nordeste","FIOCRUZ/ASTRAZENECA","11,927","7,560","4,367","0","0","0"
"Jardim Do Seridó","00000000240570","RN","Nordeste","JANSSEN","518","0","0","0","268","250"
"Jardim Do Seridó","00000000240570","RN","Nordeste","PFIZER/BIONTECH","10,360","3,169","2,931","0","4,260","0"
"Jardim Olinda","00000000411260","PR","Sul","BUTANTAN/SINOVAC","601","305","296","0","0","0"
"Jardim Olinda","00000000411260","PR","Sul","FIOCRUZ/ASTRAZENECA","1,087","526","507","0","54","0"
"Jardim Olinda","00000000411260","PR","Sul","JANSSEN","141","0","0","33","48","60"
"Jardim Olinda","00000000411260","PR","Sul","PFIZER/BIONTECH","937","319","252","1","365","0"
"Jardinópolis","00000000352510","SP","Sudeste","BUTANTAN/SINOVAC","29,338","13,703","13,346","78","2,211","0"
"Jardinópolis","00000000352510","SP","Sudeste","FIOCRUZ/ASTRAZENECA","27,838","14,033","12,235","4","1,566","0"
"Jardinópolis","00000000352510","SP","Sudeste","JANSSEN","2,184","0","0","210","811","1,163"
"Jardinópolis","00000000352510","SP","Sudeste","PFIZER/BIONTECH","27,942","10,190","9,978","595","7,179","0"
"Jardinópolis","00000000420895","SC","Sul","BUTANTAN/SINOVAC","805","411","394","0","0","0"
"Jardinópolis","00000000420895","SC","Sul","FIOCRUZ/ASTRAZENECA","1,315","680","635","0","0","0"
"Jardinópolis","00000000420895","SC","Sul","JANSSEN","98","0","0","36","0","62"
"Jardinópolis","00000000420895","SC","Sul","PFIZER/BIONTECH","1,366","414","319","117","516","0"
"Jari","00000000431113","RS","Sul","BUTANTAN/SINOVAC","1,287","693","587","4","3","0"
"Jari","00000000431113","RS","Sul","FIOCRUZ/ASTRAZENECA","2,218","1,158","1,059","1","0","0"
"Jari","00000000431113","RS","Sul","JANSSEN","139","0","0","47","14","78"
"Jari","00000000431113","RS","Sul","PFIZER/BIONTECH","2,609","936","730","555","388","0"
"Jarinu","00000000352520","SP","Sudeste","BUTANTAN/SINOVAC","25,291","11,293","10,401","10","3,587","0"
"Jarinu","00000000352520","SP","Sudeste","FIOCRUZ/ASTRAZENECA","20,233","9,728","9,448","1","1,056","0"
"Jarinu","00000000352520","SP","Sudeste","JANSSEN","1,196","0","0","0","256","940"
"Jarinu","00000000352520","SP","Sudeste","PFIZER/BIONTECH","18,357","8,539","6,800","9","3,009","0"
"Jaru","00000000110011","RO","Norte","BUTANTAN/SINOVAC","18,018","9,471","8,537","0","10","0"
"Jaru","00000000110011","RO","Norte","FIOCRUZ/ASTRAZENECA","26,873","13,235","12,097","0","1,541","0"
"Jaru","00000000110011","RO","Norte","JANSSEN","1,610","1,143","28","0","432","7"
"Jaru","00000000110011","RO","Norte","PFIZER/BIONTECH","40,530","18,071","14,060","0","8,399","0"
"Jataí","00000000521190","GO","Centro-Oeste","BUTANTAN/SINOVAC","42,310","23,231","19,075","3","1","0"
"Jataí","00000000521190","GO","Centro-Oeste","FIOCRUZ/ASTRAZENECA","53,603","27,405","26,198","0","0","0"
"Jataí","00000000521190","GO","Centro-Oeste","JANSSEN","4,467","0","0","4","1,735","2,728"
"Jataí","00000000521190","GO","Centro-Oeste","PFIZER/BIONTECH","79,896","31,430","26,148","162","22,156","0"
"Jataizinho","00000000411270","PR","Sul","BUTANTAN/SINOVAC","3,666","1,864","1,801","1","0","0"
"Jataizinho","00000000411270","PR","Sul","FIOCRUZ/ASTRAZENECA","8,920","4,389","4,076","0","455","0"
"Jataizinho","00000000411270","PR","Sul","JANSSEN","693","0","0","3","224","466"
"Jataizinho","00000000411270","PR","Sul","PFIZER/BIONTECH","9,040","3,684","2,665","2","2,689","0"
"Jataúba","00000000260800","PE","Nordeste","BUTANTAN/SINOVAC","6,130","3,586","2,532","0","12","0"
"Jataúba","00000000260800","PE","Nordeste","FIOCRUZ/ASTRAZENECA","6,460","4,321","2,126","1","12","0"
"Jataúba","00000000260800","PE","Nordeste","JANSSEN","97","0","0","0","26","71"
"Jataúba","00000000260800","PE","Nordeste","PFIZER/BIONTECH","8,023","3,998","2,609","0","1,416","0"
"Jateí","00000000500510","MS","Centro-Oeste","BUTANTAN/SINOVAC","1,530","853","676","0","1","0"
"Jateí","00000000500510","MS","Centro-Oeste","FIOCRUZ/ASTRAZENECA","1,902","1,216","686","0","0","0"
"Jateí","00000000500510","MS","Centro-Oeste","JANSSEN","414","0","0","31","167","216"
"Jateí","00000000500510","MS","Centro-Oeste","PFIZER/BIONTECH","4,760","1,429","1,647","4","1,680","0"
"Jati","00000000230720","CE","Nordeste","BUTANTAN/SINOVAC","1,403","740","662","1","0","0"
"Jati","00000000230720","CE","Nordeste","FIOCRUZ/ASTRAZENECA","819","728","91","0","0","0"
"Jati","00000000230720","CE","Nordeste","PFIZER/BIONTECH","85","0","0","85","0","0"
"Jatobá","00000000210545","MA","Nordeste","BUTANTAN/SINOVAC","2,343","1,244","1,081","6","12","0"
"Jatobá","00000000210545","MA","Nordeste","FIOCRUZ/ASTRAZENECA","4,326","2,590","1,733","3","0","0"
"Jatobá","00000000210545","MA","Nordeste","JANSSEN","102","0","0","1","30","71"
"Jatobá","00000000210545","MA","Nordeste","PFIZER/BIONTECH","4,051","1,618","1,301","1,130","2","0"
"Jatobá","00000000260805","PE","Nordeste","BUTANTAN/SINOVAC","9,730","5,060","4,670","0","0","0"
"Jatobá","00000000260805","PE","Nordeste","FIOCRUZ/ASTRAZENECA","6,621","3,823","2,781","0","17","0"
"Jatobá","00000000260805","PE","Nordeste","JANSSEN","180","0","0","0","79","101"
"Jatobá","00000000260805","PE","Nordeste","PFIZER/BIONTECH","7,629","3,115","2,006","18","2,490","0"
"Jatobá Do Piauí","00000000220527","PI","Nordeste","BUTANTAN/SINOVAC","2,912","1,682","1,228","0","2","0"
"Jatobá Do Piauí","00000000220527","PI","Nordeste","FIOCRUZ/ASTRAZENECA","3,102","1,513","1,489","0","100","0"
"Jatobá Do Piauí","00000000220527","PI","Nordeste","JANSSEN","325","0","0","0","241","84"
"Jatobá Do Piauí","00000000220527","PI","Nordeste","PFIZER/BIONTECH","3,368","1,306","1,171","4","887","0"
"Jaú","00000000352530","SP","Sudeste","BUTANTAN/SINOVAC","76,273","33,771","31,607","73","10,822","0"
"Jaú","00000000352530","SP","Sudeste","FIOCRUZ/ASTRAZENECA","103,169","56,533","45,693","128","815","0"
"Jaú","00000000352530","SP","Sudeste","JANSSEN","6,616","0","0","629","2,132","3,855"
"Jaú","00000000352530","SP","Sudeste","PFIZER/BIONTECH","79,619","24,436","32,759","2,000","20,424","0"
"Jaú Do Tocantins","00000000171150","TO","Norte","BUTANTAN/SINOVAC","1,398","738","660","0","0","0"
"Jaú Do Tocantins","00000000171150","TO","Norte","FIOCRUZ/ASTRAZENECA","2,973","1,607","1,347","0","19","0"
"Jaú Do Tocantins","00000000171150","TO","Norte","JANSSEN","299","0","0","0","86","213"
"Jaú Do Tocantins","00000000171150","TO","Norte","PFIZER/BIONTECH","1,663","560","325","2","776","0"
"Jaupaci","00000000521200","GO","Centro-Oeste","BUTANTAN/SINOVAC","1,472","777","695","0","0","0"
"Jaupaci","00000000521200","GO","Centro-Oeste","FIOCRUZ/ASTRAZENECA","1,866","983","883","0","0","0"
"Jaupaci","00000000521200","GO","Centro-Oeste","JANSSEN","33","0","0","1","14","18"
"Jaupaci","00000000521200","GO","Centro-Oeste","PFIZER/BIONTECH","2,055","723","496","12","824","0"
"Jauru","00000000510500","MT","Centro-Oeste","BUTANTAN/SINOVAC","2,746","1,409","1,337","0","0","0"
"Jauru","00000000510500","MT","Centro-Oeste","FIOCRUZ/ASTRAZENECA","7,701","3,969","3,732","0","0","0"
"Jauru","00000000510500","MT","Centro-Oeste","JANSSEN","219","0","0","0","78","141"
"Jauru","00000000510500","MT","Centro-Oeste","PFIZER/BIONTECH","4,352","1,494","1,046","4","1,808","0"
"Jeceaba","00000000313540","MG","Sudeste","BUTANTAN/SINOVAC","3,555","1,872","1,683","0","0","0"
"Jeceaba","00000000313540","MG","Sudeste","FIOCRUZ/ASTRAZENECA","5,114","2,574","2,331","0","209","0"
"Jeceaba","00000000313540","MG","Sudeste","JANSSEN","290","0","0","0","139","151"
"Jeceaba","00000000313540","MG","Sudeste","PFIZER/BIONTECH","5,448","2,010","1,823","64","1,551","0"
"Jenipapo De Minas","00000000313545","MG","Sudeste","BUTANTAN/SINOVAC","1,429","768","661","0","0","0"
"Jenipapo De Minas","00000000313545","MG","Sudeste","FIOCRUZ/ASTRAZENECA","5,184","2,756","2,390","0","38","0"
"Jenipapo De Minas","00000000313545","MG","Sudeste","JANSSEN","119","0","0","0","32","87"
"Jenipapo De Minas","00000000313545","MG","Sudeste","PFIZER/BIONTECH","3,993","1,540","1,206","11","1,236","0"
"Jenipapo Dos Vieiras","00000000210547","MA","Nordeste","BUTANTAN/SINOVAC","4,245","2,334","1,904","0","7","0"
"Jenipapo Dos Vieiras","00000000210547","MA","Nordeste","FIOCRUZ/ASTRAZENECA","6,694","3,412","2,898","0","384","0"
"Jenipapo Dos Vieiras","00000000210547","MA","Nordeste","JANSSEN","97","0","0","0","18","79"
"Jenipapo Dos Vieiras","00000000210547","MA","Nordeste","PFIZER/BIONTECH","4,090","1,182","676","0","2,232","0"
"Jequeri","00000000313550","MG","Sudeste","BUTANTAN/SINOVAC","4,272","2,230","2,041","0","1","0"
"Jequeri","00000000313550","MG","Sudeste","FIOCRUZ/ASTRAZENECA","6,036","3,460","2,574","0","2","0"
"Jequeri","00000000313550","MG","Sudeste","JANSSEN","195","0","0","0","35","160"
"Jequeri","00000000313550","MG","Sudeste","PFIZER/BIONTECH","5,585","3,129","1,653","4","799","0"
"Jequiá Da Praia","00000000270375","AL","Nordeste","BUTANTAN/SINOVAC","2,368","1,190","1,178","0","0","0"
"Jequiá Da Praia","00000000270375","AL","Nordeste","FIOCRUZ/ASTRAZENECA","5,128","2,536","2,408","2","182","0"
"Jequiá Da Praia","00000000270375","AL","Nordeste","JANSSEN","151","0","0","1","55","95"
"Jequiá Da Praia","00000000270375","AL","Nordeste","PFIZER/BIONTECH","8,261","3,671","2,942","4","1,644","0"
"Jequié","00000000291800","BA","Nordeste","BUTANTAN/SINOVAC","72,980","39,296","33,635","2","47","0"
"Jequié","00000000291800","BA","Nordeste","FIOCRUZ/ASTRAZENECA","81,698","42,962","38,706","3","27","0"
"Jequié","00000000291800","BA","Nordeste","JANSSEN","2,811","0","0","106","630","2,075"
"Jequié","00000000291800","BA","Nordeste","PFIZER/BIONTECH","99,388","44,577","30,580","621","23,610","0"
"Jequitaí","00000000313560","MG","Sudeste","BUTANTAN/SINOVAC","2,522","1,344","1,174","0","4","0"
"Jequitaí","00000000313560","MG","Sudeste","FIOCRUZ/ASTRAZENECA","5,548","2,859","2,518","0","171","0"
"Jequitaí","00000000313560","MG","Sudeste","JANSSEN","117","0","0","1","40","76"
"Jequitaí","00000000313560","MG","Sudeste","PFIZER/BIONTECH","5,024","1,990","1,448","0","1,586","0"
"Jequitibá","00000000313570","MG","Sudeste","BUTANTAN/SINOVAC","2,978","1,594","1,383","0","1","0"
"Jequitibá","00000000313570","MG","Sudeste","FIOCRUZ/ASTRAZENECA","4,061","2,118","1,934","0","9","0"
"Jequitibá","00000000313570","MG","Sudeste","JANSSEN","101","0","0","0","41","60"
"Jequitibá","00000000313570","MG","Sudeste","PFIZER/BIONTECH","5,625","1,647","1,327","13","2,638","0"
"Jequitinhonha","00000000313580","MG","Sudeste","BUTANTAN/SINOVAC","8,041","4,399","3,640","0","2","0"
"Jequitinhonha","00000000313580","MG","Sudeste","FIOCRUZ/ASTRAZENECA","14,226","7,449","6,763","0","14","0"
"Jequitinhonha","00000000313580","MG","Sudeste","JANSSEN","717","0","0","5","225","487"
"Jequitinhonha","00000000313580","MG","Sudeste","PFIZER/BIONTECH","15,969","5,677","4,233","69","5,990","0"
"Jeremoabo","00000000291810","BA","Nordeste","BUTANTAN/SINOVAC","12,562","6,630","5,932","0","0","0"
"Jeremoabo","00000000291810","BA","Nordeste","FIOCRUZ/ASTRAZENECA","28,026","14,541","13,383","0","102","0"
"Jeremoabo","00000000291810","BA","Nordeste","JANSSEN","463","0","0","0","5","458"
"Jeremoabo","00000000291810","BA","Nordeste","PFIZER/BIONTECH","22,297","10,087","6,489","0","5,721","0"
"Jericó","00000000250740","PB","Nordeste","BUTANTAN/SINOVAC","3,824","1,985","1,838","0","1","0"
"Jericó","00000000250740","PB","Nordeste","FIOCRUZ/ASTRAZENECA","4,340","2,093","2,067","0","180","0"
"Jericó","00000000250740","PB","Nordeste","JANSSEN","221","0","0","0","100","121"
"Jericó","00000000250740","PB","Nordeste","PFIZER/BIONTECH","7,024","2,246","1,866","47","2,865","0"
"Jeriquara","00000000352540","SP","Sudeste","BUTANTAN/SINOVAC","2,824","1,410","1,307","0","107","0"
"Jeriquara","00000000352540","SP","Sudeste","FIOCRUZ/ASTRAZENECA","1,900","949","951","0","0","0"
"Jeriquara","00000000352540","SP","Sudeste","JANSSEN","119","0","0","0","49","70"
"Jeriquara","00000000352540","SP","Sudeste","PFIZER/BIONTECH","2,328","744","752","7","825","0"
"Jerônimo Monteiro","00000000320310","ES","Sudeste","BUTANTAN/SINOVAC","5,721","3,158","2,559","0","4","0"
"Jerônimo Monteiro","00000000320310","ES","Sudeste","FIOCRUZ/ASTRAZENECA","6,957","3,404","3,246","0","307","0"
"Jerônimo Monteiro","00000000320310","ES","Sudeste","JANSSEN","631","0","0","0","222","409"
"Jerônimo Monteiro","00000000320310","ES","Sudeste","PFIZER/BIONTECH","10,151","3,561","2,853","138","3,599","0"
"Jerumenha","00000000220530","PI","Nordeste","BUTANTAN/SINOVAC","1,935","1,023","912","0","0","0"
"Jerumenha","00000000220530","PI","Nordeste","FIOCRUZ/ASTRAZENECA","2,790","1,501","1,289","0","0","0"
"Jerumenha","00000000220530","PI","Nordeste","JANSSEN","80","0","0","0","24","56"
"Jerumenha","00000000220530","PI","Nordeste","PFIZER/BIONTECH","2,513","1,248","638","5","622","0"
"Jesuânia","00000000313590","MG","Sudeste","BUTANTAN/SINOVAC","2,593","1,388","1,203","0","2","0"
"Jesuânia","00000000313590","MG","Sudeste","FIOCRUZ/ASTRAZENECA","3,085","1,506","1,579","0","0","0"
"Jesuânia","00000000313590","MG","Sudeste","JANSSEN","82","0","0","16","5","61"
"Jesuânia","00000000313590","MG","Sudeste","PFIZER/BIONTECH","4,161","1,425","1,109","19","1,608","0"
"Jesuítas","00000000411275","PR","Sul","BUTANTAN/SINOVAC","4,401","2,350","2,049","0","2","0"
"Jesuítas","00000000411275","PR","Sul","FIOCRUZ/ASTRAZENECA","8,203","3,951","3,852","0","400","0"
"Jesuítas","00000000411275","PR","Sul","JANSSEN","535","0","0","0","306","229"
"Jesuítas","00000000411275","PR","Sul","PFIZER/BIONTECH","5,168","1,652","1,183","20","2,313","0"
"Jesúpolis","00000000521205","GO","Centro-Oeste","BUTANTAN/SINOVAC","941","482","457","0","2","0"
"Jesúpolis","00000000521205","GO","Centro-Oeste","FIOCRUZ/ASTRAZENECA","1,427","722","705","0","0","0"
"Jesúpolis","00000000521205","GO","Centro-Oeste","JANSSEN","76","0","0","0","33","43"
"Jesúpolis","00000000521205","GO","Centro-Oeste","PFIZER/BIONTECH","2,048","728","585","9","726","0"
"Ji-Paraná","00000000110012","RO","Norte","BUTANTAN/SINOVAC","47,194","26,242","20,885","2","65","0"
"Ji-Paraná","00000000110012","RO","Norte","FIOCRUZ/ASTRAZENECA","59,805","30,770","28,324","5","706","0"
"Ji-Paraná","00000000110012","RO","Norte","JANSSEN","3,523","0","92","4","867","2,560"
"Ji-Paraná","00000000110012","RO","Norte","PFIZER/BIONTECH","87,150","38,686","29,036","361","19,067","0"
"Jijoca De Jericoacoara","00000000230725","CE","Nordeste","BUTANTAN/SINOVAC","2,702","1,378","1,324","0","0","0"
"Jijoca De Jericoacoara","00000000230725","CE","Nordeste","FIOCRUZ/ASTRAZENECA","3,027","2,140","886","0","1","0"
"Jijoca De Jericoacoara","00000000230725","CE","Nordeste","JANSSEN","232","0","0","227","0","5"
"Jijoca De Jericoacoara","00000000230725","CE","Nordeste","PFIZER/BIONTECH","2,871","528","173","3","2,167","0"
"Jiquiriçá","00000000291820","BA","Nordeste","BUTANTAN/SINOVAC","5,670","2,925","2,743","1","1","0"
"Jiquiriçá","00000000291820","BA","Nordeste","FIOCRUZ/ASTRAZENECA","7,252","3,754","3,498","0","0","0"
"Jiquiriçá","00000000291820","BA","Nordeste","JANSSEN","256","0","0","91","0","165"
"Jiquiriçá","00000000291820","BA","Nordeste","PFIZER/BIONTECH","10,692","4,420","3,606","1,671","995","0"
"Jitaúna","00000000291830","BA","Nordeste","BUTANTAN/SINOVAC","4,889","2,698","2,189","2","0","0"
"Jitaúna","00000000291830","BA","Nordeste","FIOCRUZ/ASTRAZENECA","6,193","3,552","2,497","24","120","0"
"Jitaúna","00000000291830","BA","Nordeste","JANSSEN","143","0","0","2","1","140"
"Jitaúna","00000000291830","BA","Nordeste","PFIZER/BIONTECH","7,127","3,523","2,037","1,119","448","0"
"Joaçaba","00000000420900","SC","Sul","BUTANTAN/SINOVAC","12,149","6,334","5,810","0","5","0"
"Joaçaba","00000000420900","SC","Sul","FIOCRUZ/ASTRAZENECA","22,774","11,506","11,123","1","144","0"
"Joaçaba","00000000420900","SC","Sul","JANSSEN","1,664","0","0","5","648","1,011"
"Joaçaba","00000000420900","SC","Sul","PFIZER/BIONTECH","23,004","7,849","6,057","69","9,029","0"
"Joaíma","00000000313600","MG","Sudeste","BUTANTAN/SINOVAC","5,613","2,972","2,640","0","1","0"
"Joaíma","00000000313600","MG","Sudeste","FIOCRUZ/ASTRAZENECA","7,827","4,039","3,763","0","25","0"
"Joaíma","00000000313600","MG","Sudeste","JANSSEN","149","0","0","0","10","139"
