"[Município]","Cód. IBGE","UF","Região","Fabricante","Total de doses aplicadas","1ª Dose D1","2ª Dose D2","Dose Adicional DA","Dose Reforço DR","Dose Única DU"
"Aratuba","00000000230140","CE","Nordeste","JANSSEN","504","0","0","58","188","258"
"Aratuba","00000000230140","CE","Nordeste","PFIZER/BIONTECH","10,829","3,847","3,051","3","3,928","0"
"Aratuípe","00000000290230","BA","Nordeste","BUTANTAN/SINOVAC","3,171","1,758","1,412","0","1","0"
"Aratuípe","00000000290230","BA","Nordeste","FIOCRUZ/ASTRAZENECA","4,716","2,608","2,107","1","0","0"
"Aratuípe","00000000290230","BA","Nordeste","JANSSEN","140","0","0","0","34","106"
"Aratuípe","00000000290230","BA","Nordeste","PFIZER/BIONTECH","5,911","2,781","1,978","1","1,151","0"
"Arauá","00000000280040","SE","Nordeste","BUTANTAN/SINOVAC","5,120","2,809","2,302","0","8","1"
"Arauá","00000000280040","SE","Nordeste","FIOCRUZ/ASTRAZENECA","4,431","2,331","2,097","1","2","0"
"Arauá","00000000280040","SE","Nordeste","JANSSEN","152","0","0","2","49","101"
"Arauá","00000000280040","SE","Nordeste","PFIZER/BIONTECH","8,075","3,244","2,318","88","2,424","1"
"Araucária","00000000410180","PR","Sul","BUTANTAN/SINOVAC","54,619","29,575","25,031","2","11","0"
"Araucária","00000000410180","PR","Sul","FIOCRUZ/ASTRAZENECA","75,565","37,028","36,400","50","2,087","0"
"Araucária","00000000410180","PR","Sul","JANSSEN","7,681","0","0","7","2,301","5,373"
"Araucária","00000000410180","PR","Sul","PFIZER/BIONTECH","130,084","56,011","43,432","2,628","28,013","0"
"Araújos","00000000310390","MG","Sudeste","BUTANTAN/SINOVAC","3,812","1,972","1,840","0","0","0"
"Araújos","00000000310390","MG","Sudeste","FIOCRUZ/ASTRAZENECA","5,196","2,627","2,568","0","1","0"
"Araújos","00000000310390","MG","Sudeste","JANSSEN","273","0","0","0","119","154"
"Araújos","00000000310390","MG","Sudeste","PFIZER/BIONTECH","8,057","2,906","2,496","74","2,581","0"
"Araxá","00000000310400","MG","Sudeste","BUTANTAN/SINOVAC","44,069","24,402","19,653","2","12","0"
"Araxá","00000000310400","MG","Sudeste","FIOCRUZ/ASTRAZENECA","55,571","29,096","26,465","3","7","0"
